Nearest town,State,latitude,longitude,Severity confidence description,Intense precipitation amount,Intense precipitation period,Total precipitation,Total precipitation duration,Water course,acq_date,acq_time,Year,Month,season
walcha,NSW,-30.93,151.72,Estimate of rainfall (eg. from filling of receptacles).,25.0,10.0,35,0,,2006-01-06,05:05:00,2006,1,2
rosebank,NSW,-28.64,153.41,Other measurement of rainfall.,0.0,0.0,505,0,,2006-01-07,01:00:00,2006,1,2
Walcha,NSW,-30.99,151.59,Other measurement of rainfall.,54.0,35.0,54,0,,2006-01-12,05:15:00,2006,1,2
Forbes,NSW,-33.39,148.01,Other measurement of rainfall.,53.0,60.0,53,0,,2006-01-15,05:20:00,2006,1,2
Goulburn,NSW,-34.75,149.73,Bureau measurement of rainfall.,85.0,240.0,85,0,,2006-01-15,21:54:00,2006,1,2
Canberra,NSW,-35.28,149.12,"Flash flooding reported, but no quantitative data available.",0.0,0.0,0,0,,2006-01-16,06:00:00,2006,1,2
springwood,NSW,-33.6968,150.5685,Other measurement of rainfall.,67.0,65.0,0,0,,2006-01-16,06:00:00,2006,1,2
ocean shores,NSW,-28.5207,153.5401,Other measurement of rainfall.,200.0,540.0,0,0,,2006-01-18,13:00:00,2006,1,2
Ocean shores,NSW,-28.52,153.54,Other measurement of rainfall.,42.2,60.0,50,0,,2006-02-11,21:30:00,2006,2,2
coffs harbour,NSW,-30.32,153.12,Other measurement of rainfall.,27.8,10.0,0,0,,2006-02-12,05:03:00,2006,2,2
coffs harbour,NSW,-30.32,153.12,Other measurement of rainfall.,83.0,60.0,0,0,,2006-02-12,05:30:00,2006,2,2
Gulmarrad,NSW,-29.49,153.24,Other measurement of rainfall.,92.0,60.0,92,0,,2006-02-13,05:00:00,2006,2,2
higgins,NSW,-35.23,149.01,Other measurement of rainfall.,43.0,30.0,0,0,,2006-02-15,09:50:00,2006,2,2
Bathurst,NSW,-33.42,149.59,Other measurement of rainfall.,68.0,60.0,68,0,,2006-02-16,07:00:00,2006,2,2
nullamanna,NSW,-29.5,151.3,Other measurement of rainfall.,23.0,25.0,0,0,,2006-02-20,07:00:00,2006,2,2
penrith,NSW,-33.75,150.68,,0.0,0.0,0,0,,2006-02-26,08:00:00,2006,2,2
horsley park,NSW,-33.84,150.85,Other measurement of rainfall.,48.8,60.0,0,0,,2006-02-26,09:30:00,2006,2,2
avalon,NSW,-33.64,151.33,Other measurement of rainfall.,101.0,120.0,0,0,,2006-02-26,10:00:00,2006,2,2
asquith,NSW,-33.69,151.1096,Other measurement of rainfall.,50.0,60.0,0,0,,2006-02-26,10:30:00,2006,2,2
turramurra,NSW,-33.74,151.13,Other measurement of rainfall.,40.0,30.0,0,0,,2006-02-26,11:00:00,2006,2,2
turramurra,NSW,-33.74,151.13,Other measurement of rainfall.,40.0,30.0,0,0,,2006-02-26,11:20:00,2006,2,2
norah head,NSW,-33.28,151.57,Other measurement of rainfall.,40.0,60.0,0,0,,2006-03-01,00:30:00,2006,3,3
gosford,NSW,-33.43,151.34,Other measurement of rainfall.,43.0,60.0,92,0,,2006-03-01,01:00:00,2006,3,3
Byron Bay,NSW,-28.65,153.62,"Flash flooding reported, but no quantitative data available.",0.0,0.0,0,0,,2006-04-04,07:10:00,2006,4,3
Anna Bay,NSW,-32.782,152.085,Estimate of rainfall (eg. from filling of receptacles).,50.0,30.0,0,0,,2006-06-05,07:30:00,2006,6,4
Kellyville,NSW,-33.729,150.954,Estimate of rainfall (eg. from filling of receptacles).,62.0,840.0,0,0,,2006-09-07,02:00:00,2006,9,1
Canberra,NSW,-35.32,149.12,,0.0,0.0,0,0,,2006-11-03,04:40:00,2006,11,1
Broke,NSW,-32.77,151.08,,0.0,0.0,0,0,,2006-11-03,06:40:00,2006,11,1
"Caloola, 29km SW Bathurst",NSW,-33.6,149.4,"Flash flooding reported, but no quantitative data available.",0.0,0.0,0,0,,2006-11-03,08:00:00,2006,11,1
Guyra,NSW,-30.22,151.67,"Flash flooding reported, but no quantitative data available.",0.0,0.0,0,0,,2006-11-07,08:00:00,2006,11,1
guyra,NSW,-30.215,151.668,Other measurement of rainfall.,23.0,30.0,0,0,,2006-11-13,04:00:00,2006,11,1
MUSWELLBROOK,NSW,-32.265,150.885,,0.0,0.0,0,0,,2006-11-28,04:30:00,2006,11,1
Brays Creek,NSW,-28.39,153.19,Bureau measurement of rainfall.,55.0,60.0,55,0,,2006-12-03,05:50:00,2006,12,2
Cabramatta West,NSW,-33.89,150.91,Other measurement of rainfall.,15.0,5.0,15,0,,2006-12-11,04:45:00,2006,12,2
Fairfield,NSW,-33.865,150.951,,0.0,0.0,0,0,,2006-12-11,05:10:00,2006,12,2
"Yarrowyck, E of Armidale.",NSW,-30.441,151.353,Estimate of rainfall (eg. from filling of receptacles).,100.0,40.0,0,0,,2006-12-12,04:30:00,2006,12,2
nymboida,NSW,-29.932,152.718,Other measurement of rainfall.,59.0,15.0,0,0,,2006-12-14,03:27:00,2006,12,2
Queanbeyan,NSW,-35.36,149.23,,0.0,60.0,0,0,,2006-12-29,05:00:00,2006,12,2
Yass,NSW,-34.74,148.89,,0.0,60.0,0,0,,2006-12-30,06:00:00,2006,12,2
springwood,NSW,-33.697,150.568,Estimate of rainfall (eg. from filling of receptacles).,30.0,30.0,0,0,,2006-12-31,03:45:00,2006,12,2
Broken Hill,NSW,-31.45,142.13,,0.0,0.0,0,0,,2006-12-31,19:00:00,2006,12,2
Nyngan,NSW,-31.43,147.27,Other measurement of rainfall.,48.0,30.0,48,0,,2007-01-15,08:45:00,2007,1,2
Little Hartley,NSW,-33.56,150.218,Other measurement of rainfall.,62.0,60.0,62,0,,2007-01-17,03:30:00,2007,1,2
Broken Hill,NSW,-31.45,142.13,,0.0,0.0,0,0,,2007-01-20,05:30:00,2007,1,2
tamworth,NSW,-31.15,150.985,Other measurement of rainfall.,58.0,120.0,0,0,,2007-02-01,08:30:00,2007,2,2
Kahibah,NSW,-32.97,151.7,Other measurement of rainfall.,44.0,28.0,0,0,,2007-02-07,09:14:00,2007,2,2
bathurst,NSW,-33.42,149.58,,29.0,90.0,0,0,,2007-02-08,05:15:00,2007,2,2
Nabiac,NSW,-32.099,152.388,Bureau measurement of rainfall.,80.0,120.0,80,0,,2007-02-09,05:00:00,2007,2,2
Long Flat,NSW,-31.432,152.485,Bureau measurement of rainfall.,60.0,60.0,60,0,,2007-02-09,06:00:00,2007,2,2
walcha,NSW,-31.18,151.43,,57.0,30.0,75,0,,2007-02-09,09:00:00,2007,2,2
bathurst,NSW,-33.42,149.58,Other measurement of rainfall.,27.0,190.0,0,0,,2007-02-10,02:30:00,2007,2,2
rylstone,NSW,-32.8,149.97,Other measurement of rainfall.,12.5,10.0,0,0,,2007-02-10,04:21:00,2007,2,2
Walcha,NSW,-30.99,151.59,Other measurement of rainfall.,40.0,90.0,40,0,,2007-02-15,04:55:00,2007,2,2
Mt Seaview,NSW,-31.365,152.222,Other measurement of rainfall.,105.8,180.0,106,0,,2007-02-15,05:00:00,2007,2,2
Duffy,NSW,-35.333,149.033,,0.0,0.0,0,0,,2007-02-23,08:15:00,2007,2,2
Jerrawangala,NSW,-35.132,150.468,Bureau measurement of rainfall.,62.0,60.0,62,0,,2007-02-24,05:00:00,2007,2,2
Ulladulla,NSW,-35.358,150.461,Bureau measurement of rainfall.,58.0,60.0,58,0,,2007-02-24,06:00:00,2007,2,2
Orange,NSW,-33.19,149.01,,0.0,0.0,0,0,,2007-02-25,03:10:00,2007,2,2
Girralong,NSW,-30.57,152.66,Bureau measurement of rainfall.,60.0,120.0,60,0,,2007-02-25,04:10:00,2007,2,2
Girralong,NSW,-30.57,152.66,Bureau measurement of rainfall.,53.0,60.0,60,0,,2007-02-25,04:21:00,2007,2,2
Coonamble,NSW,-30.82,148.23,Bureau measurement of rainfall.,48.0,30.0,48,0,,2007-02-26,04:01:00,2007,2,2
